Time,Speed,RPM,MotorTemp,BatteryTemp,BatterySoC,MotorPower,BatteryCurrent
0.10,3.83,50,22.00,22.00,100.00,130.57,2.34
0.20,7.66,100,22.00,22.00,100.00,260.49,4.71
0.30,11.49,150,22.01,22.00,100.00,389.75,7.12
0.40,15.32,200,22.01,22.00,99.99,518.36,9.62
0.50,19.15,250,22.02,22.00,99.99,646.32,12.24
0.60,22.98,300,22.03,22.01,99.99,773.62,15.01
0.70,26.81,350,22.03,22.01,99.98,900.26,17.97
0.80,30.64,400,22.04,22.01,99.98,1026.25,21.13
0.90,34.47,450,22.05,22.02,99.97,1151.59,24.55
1.00,37.69,492,22.06,22.03,99.96,1256.37,27.63
1.10,37.69,492,22.07,22.03,99.96,1256.37,27.63
1.20,37.69,492,22.08,22.04,99.95,1256.37,27.63
1.30,37.69,492,22.09,22.05,99.94,1256.37,27.63
1.40,37.69,492,22.10,22.05,99.94,1256.37,27.63
1.50,37.69,492,22.11,22.06,99.93,1256.37,27.63
1.60,37.69,492,22.12,22.07,99.92,1256.37,27.63
1.70,37.69,492,22.13,22.07,99.92,1256.37,27.63
1.80,37.69,492,22.14,22.08,99.91,1256.37,27.63
1.90,37.69,492,22.15,22.09,99.90,1256.37,27.63
2.00,37.69,492,22.16,22.09,99.89,1256.37,27.64
2.10,37.69,492,22.16,22.10,99.89,1256.37,27.64
2.20,37.69,492,22.17,22.10,99.88,1256.37,27.64
2.30,37.69,492,22.18,22.11,99.87,1256.37,27.64
2.40,37.69,492,22.19,22.12,99.87,1256.37,27.64
2.50,37.69,492,22.19,22.12,99.86,1256.37,27.64
2.60,37.69,492,22.20,22.13,99.85,1256.37,27.64
2.70,37.69,492,22.21,22.13,99.84,1256.37,27.64
2.80,37.69,492,22.21,22.14,99.84,1256.37,27.64
2.90,37.69,492,22.22,22.14,99.83,1256.37,27.64
3.00,37.69,492,22.22,22.15,99.82,1256.37,27.64
3.10,37.69,492,22.23,22.15,99.82,1256.37,27.64
3.20,37.69,492,22.24,22.15,99.81,1256.37,27.64
3.30,37.69,492,22.24,22.16,99.80,1256.37,27.64
3.40,37.69,492,22.25,22.16,99.80,1256.37,27.64
3.50,37.69,492,22.25,22.17,99.79,1256.37,27.64
3.60,37.69,492,22.26,22.17,99.78,1256.37,27.64
3.70,37.69,492,22.26,22.18,99.77,1256.37,27.64
3.80,37.69,492,22.27,22.18,99.77,1256.37,27.65
3.90,37.69,492,22.27,22.18,99.76,1256.37,27.65
